"title","composer","a2","style","key","actualKey","actualStyle","actualTempo","actualRepeats","data"
"Jazz Folk","John Abercrombie","","Medium Swing","C","","","0","0","{*AT44C^7   |F^7   |A-7 Ab7#11 |G7sus G7 |C7sus   |C7   |F^7   |F-7   |E-7   |A7b9   |D-7   |G7   |N1Db^7   |Bb-7   |Eb-7 Ab7 |D-7 G7 }|N2Db^7   |Bb-7   |A-7   |B7#9#5   ][*BE-7/B   |B7#9   |   r|    |E-7/B   |B7#9   |E- Eb7#11<D.C. al 3rd End.> |D- Gh7 ]Y|N3Db^7   |Bb-7   |Eb-7   |G7sus G7 Z "
"Je Ne Sais Pas","Hampton-Jones","","Medium Swing","F","","","160","0","{*AT44F^7 sBb-7,Eb7,|lAb^7 Db7 |G-7 C7 |F^7 D7, |Bb^7 Bo7, |F^7 D7b9 |G-7 C7 |F6   }[*BBb6   |Bo7   |F6   |F7   |Bb6   |Bo7   |F^7 D7 |G-7 C7 ][*AF^7 sBb-7,Eb7,|lAb^7 Db7 |G-7 C7 |F^7 D7, |Bb^7 Bo7, |F^7 D7b9 |G-7 C7 |F6   Z "
"Jeannie's Song","Marchel Ivery","","Medium Swing","F","","","0","0","{*AT44G-7   |C7   |G-7   |C7   |F^7   |Bb9   |A-7   |Abo7   ][*BN1G-7   |C7   |F^7   |E-7 A7 |D^7   |A7   |D-7   |G7   }[*CN2G-7   |C7   |A-7   |D7   |G-7   |C7   |F^7,   | x  Z "
"Jeannine","Duke Pearson","","Medium Up Swing","Ab","","","0","0","*A{T44Ab-7 |x |x |x<4> |x |x |x |x<8> |F#-7   |B7   |E^7   |A7   |Bb-7   |Eb7#9   |N1Ab^7   |Eb7#9   }        |N2Ab^7   |Eb-7 Ab7 ]*B[Db^7   |Gh7 C7 |F^7   | x  |F-7   |Bb7   |Bb-7   |Eb7   ]*A[Ab-7 |x |x |x<4> |x |x |x |x<8> |F#-7   |B7   |E^7   |A7   |Bb-7   |Eb7#9   |Ab^7   |Eb7b9   Z"
"Jeepers Creepers","Harry Warren","","Medium Swing","Bb","","","0","0","*A{T44C-7 F7 |Bb6 G-7 |C-7 F7 |Bb6 G-7 |C-7 F7 |Bb6 G-7 |C-7 F7 |Bb6   }*B[F-7 Bb7 |Eb6 C-7 |F-7 Bb7 |Eb6   |G-7 C7 |F^7 D-7 |G-7 C7 |C-7 F7 ]*A[C-7 F7 |Bb6 G-7 |C-7 F7 |Bb6 G-7 |C-7 F7 |Ab7 G7 |C-7 F7 |Bb6 G7 |C-7 F7 |Bb6   Z"
"Jersey Bounce","Plater-Bradshaw-Johnson","","Medium Up Swing","F","","","0","0","*A{T44F6   | x  |G7   | x  |G-7   |C7   |N1F6 Abo7 |G-7 C7 }        |N2F6 Db7 |F6   ]*B[F13   | x  |Eb13   | x  |Db13   | x  |C7   |C7#5   ]*A[F6   | x  |G7   | x  |G-7   |C7   |F6 Db7 |F6   Z"
"Jinrikisha","Joe Henderson","","Medium Up Swing","Ab","","","0","0","{T44Db^7#11   | x  |C9sus   | x  |Bb-6   | x  |Ab^7   | x  |Gb^7#11   | x  |N1F-7   |Gb13   |F-7   |Gb13   |Gh7   |C7#9   }        |N2F-7   |Gb13   |F-7   |Gb13   |Bb-7 Eb7 |Ab13   |Db9 G7#5 |Gb^7   |Gh7   |C7alt   Z "
"Jitterbug Waltz","Fats Waller","","Waltz","Eb","","","0","0","*A{T34Eb^7   | x  | x  | x  |Ab7   | x  | x  | x  |Eb^7   | x  | x  | x  |G-7   |C7   |G-7   |C7   ]*B[F7   | x  | x  | x  |Ab-7   | x  |Db7#11   | x  |F7   | x  |Bb7   | x  |N1G-7   |C7   |F-7   |Bb7   }|N2Eb6   |Ab7   |Eb6   |Bb7   Z"
"Jody Grind, The","Horace Silver","","Even 8ths","Bb-","","","0","0","[T44Bb-7   | x  | x  | x  |Eb7   | x  |Bb-7   | x  |A13   |B13   |Bb-7   | x  Z"
"Joker, The","Lee Morgan","","Medium Swing","Eb","","","0","0","{*AT44Eb C7#9 |F-7 Bb7 |G-7 F#7 |F-7 Bb7 |Bb-7 Eb7 |Ab Ab-7 |N1G-7 C7#9 |F-7 Bb7 }        |N2F-7 Bb7 |Eb <Fine>  ][*BBb-7   |A7   |Ab^7   | x  |C-7   |F7   |F-7  <D.C. al 2nd End.> |Bb7   Z "
"Jordu","Duke Jordan","","Up Tempo Swing","C-","","","0","0","*A{T44D7 G7 |C-6   |F7 Bb7 |Eb^7   |D7 G7 |C-6   |Ab7   | x  }*B[G7 C7 |F7 Bb7 |Eb7 Ab7 |Db^7   |F7 Bb7 |Eb7 Ab7 |Db7 Gb7 |B^7   ]*A[D7 G7 |C-6   |F7 Bb7 |Eb^7   |D7 G7 |C-6   |Ab7   | x  Z"
"Joshua","Victor Feldman","","Up Tempo Swing","D-","","","0","0","{*AT44D-11   | x  | x  | x  |D-11   | x  | x  | x  |D-7 C-7 |Bb-7 C-7 |N1D-7   | x  }        |N2D-7   |G-7 C7 ]{*BT34F^7   |F-7 Bb7#9#5 |Eb^7   |Eb-7 Ab7#9#5 |Db^7   |G7#9#5   |T44C-7 <3X (for solos only)>Bb-7 |E7#9#5 A7b9#5 }[*AD-11   | x  | x  | x  |D-11   | x  | x  | x  |D-7 C-7 |Bb-7 C-7 |D-7   | x  Z "
"Joy Spring","Clifford Brown","","Up Tempo Swing","F","","","0","0","*A[T44F^7   |G-7 C7 |F^7   |Bb-7 Eb7 |A-7 Ab7 |G-7 C7 |F^7   |Ab-7 Db7 ]*B[Gb^7   |Ab-7 Db7 |Gb^7   |B-7 E7 |Bb-7 A7 |Ab-7 Db7 |Gb^7   |A-7 D7 ]*C[G^7   |G-7 C7 |F^7   |F-7 Bb7 |Eb^7   |Ab-7 Db7 |Gb^7   |G-7 C7 ]*A[F^7   |G-7 C7 |F^7   |Bb-7 Eb7 |A-7 Ab7 |G-7 C7 |F^7   |G-7 C7 Z"
"Juju","Wayne Shorter","","Waltz","B","","","0","0","[T34B7#5   | x  | x  | x  |B7#5   | x  | x  | x  |Bb7#5   | x  |A7   | x  |Ab^7   | x  |E-7   | x  |F^7   | x  |B-7   | x  |F^7   | x  |B-7   | x  Z"
"Jumpin With Symphony Sid","Lester Young","","Medium Swing","Bb","","","0","0","[T44Bb7   | x  | x  | x  |Eb7   | x  |Bb7   | x  |F7   |Eb7   |Bb7   | x  Z "
"Just A Gigolo","Leonello Casucci","","Medium Swing","F","","","0","0","[T44F   |F^7   |F Abo7 |G-7 D7 |G-   |G-7   |C7   |F   ][F7   |Eb7   |D7   |G-7   |Bb-7 Eb7 |A-7 D7 |G-7 C7 |F C7 Z"
"Just A-Sittin' And A-Rockin","Ellington-Strayhorn-Gaines","","Slow Swing","Ab","","","90","0","{*AT44Ab   |Db, Ab, |Db Ab/Eb |Db, Ab, |Db Ab/Eb |Db Ab/Eb |Db Ab/Eb |N1Db, Ab, }            |N2Dbadd9, Ab, ][*BC- C-b6 |C-6 C-b6, |C- C-b6 |C-7, G7, |C C#5 |C6, Dbo7 |D-7 G9 |Bb-7 Eb9 ][*AAb   |Db, Ab, |Db Ab/Eb |Db, Ab, |Db Ab/Eb |Db Ab/Eb |Db Ab/Eb |Db/Eb Ab Z "
"Just Friends","John Klenner","","Medium Swing","G","","","0","0","*A[T44C^7   | x  |C-7   |F7   |G^7   | x  |Bb-7   |Eb7   ]*B[A-7   |D7   |G^7   |E-7   |A7   | x  |A-7   |D7 G7 ]*A[C^7   | x  |C-7   |F7   |G^7   | x  |Bb-7   |Eb7   ]*C[A-7   |D7   |F#h7 B7b9 |E-7   |A7   |A-7 D7 |UG6   |D-7 G7 Z"
"Just In Time","Jule Styne","","Up Tempo Swing","Bb","","","0","0","*A[T44Bb^7   | x  |Ah7   |D7b9   |G7   | x  |C7   | x  |F7   | x  |Bb7   | x  |Eb^7   | x  |Ab^7   |Ah7 D7b9 ]*B[G-7   |G-/F#   |G-/F   |C7 C#o7 |Bb6   | x  |Ab7   |G7   |C7   |F7   |D-7   |G-7   |C7   |C-7 F7 |Bb6   |C-7 F7 Z"
"Just In Tune","John Abercrombie","","Medium Up Swing","C","","","0","0","{*AT44D7sus   |x   |Dh7   |G7b9   |C-7   |C-7/Bb   |A-7   |x   ][*BN1D-   |Bb/D   |D-   |Bb/D   |D- D-/C |Bb^7   |Bh7   |E7b9   }[*CN2F^7#11   |Eb^7   |Ab^7#11   |G-7   |C7sus   |x   |x   |x   Z "
"Just One More Chance","Johnston-Coslow","","Medium Swing","G","","","0","0","{*AT44G^7,   | x  |A-7, D7, |A-7, D7, |G^7,   | x  |N1G^7, Eb7, |A-7, D7 }        |N2G6, sEb7,D7|lA-7, D7 ]Y[*BD-7, G7, |C^7,   |Ah7, D7, |G^7,   |Bh7, E7, |A-7,   |E-7, A7, |A-7, D7, ]Y[*AG^7,   | x  |A-7, D7, | x  |G^7,   | x  |G6, sEb7,D7|lA-7, D7 Z "
"Just One Of Those Things","Cole Porter","","Up Tempo Swing","F","","","0","0","*A{T44D-6   | x  |Eh7   |A7b9   |F7   | x  |Bh7   |Bb-6   |A-7   |Ab7   |G-7   |C7   |N1F6   |D7   |G-7 G-7/F |Eh7 A7b9 }|N2F6   | x  |F-7   |Bb7   ]*B[Eb6   |Eo7   |F-7   |Bb7   |Eb6   | x  |D-7   |G7   |C6   |A-7   |F#h7   |F-6   |E-7   |Eb7   |G-7 <D.C. al 3rd ending>C7 |Eh7 A7b9 ]|N3UF6   | x  |Eh7   |A7b9   Z"
"Just Squeeze Me","Duke Ellington","","Medium Swing","F","","","0","0","*A{T44F^7 G-7 |A-7 C7 |F^7 Bb^7 |A-7 D7 |G-7   |C7sus C7 |N1F^7 D7 |G-7 C7 }        |N2F^7   | x  ]*B[F7   | x  |Bb^7   | x  |G7   | x  |G-7   |C7sus C7 ]*A[F^7 G-7 |A-7 C7 |F^7 Bb^7 |A-7 D7 |G-7   |C7sus C7 |F^7 D7 |G-7 C7 Z"
"Just You, Just Me","Jesse Greer","","Medium Swing","C","","","0","0","*A{T44C6   |A7   |D-7   |G7   |C6 C7 |F^7 Bb7 |C6/G G7 |N1C6 G7 }            |N2C6   ]*B[G-7   |C7   |F6   |Bb7   |C6   |E7 A-7 |D7   |G7   ]*A[C6   |A7   |D-7   |G7   |C6 C7 |F^7 Bb7 |C6/G G7 |C G7 Z"
"Kary's Trance","Lee Konitz","","Medium Up Swing","A-","","","200","0","{*AT44A-6   | x  |D-6   | x  |Bh7   |E7b9   |N1A-   |A-6   }        |N2A-6   | x  ][*BG7   |G7b9   |C^7   | x  |Bh7   | x  |E7b9   | x  ][*AA-6   | x  |D-6   | x  |Bh7   |E7b9   |A-6   | x  Z "
"Katrina Ballerina","Woody Shaw","","Waltz","G-","","","140","0","{*AT34G-7   |F7   |Eb^7   |F7   |Ab^7#11   |Gb^7#11   |N1sGb-7,Ab-7,D7#9 |lD7#9   }        |N2Ah7, D7#9, |G-7   ][*BAb^7   |Bb7   |   r|    |Ab^7   |Bb7   |   r|    |A^7   |B7   |   r|    |D-11 C-11, |C-11, Bb-11, |Bb-11, Ab-11, |D7#9   ][*AG-7   |F7   |Eb^7   |F7   |Ab^7#11   |Gb^7#11   |Ah7, D7#9, |G-7   Z[<*70 Interlude>Bb7#11   | x  | x  | x  |Bb7#11   | x  | x  |D7#9   ] "
"Keepin' Myself For You","Vincent Youmans","","Ballad","Eb","","","0","0","{*AT44Eb^7 Eo7 |F9 Bb13 |Ah7 Ab-7 |Gh7 C7b9 |F-7 Ab-6 |Bb7sus Bb9 |N1Eb6/G Gbo7 |F-7 Bb7 }        Y|N2Eb69 F-7 |Eb6/G B7/F# ][*BE^7 C#-7 |F#-7 B7 |E^7/G# sC#-7,C#-/B,|lBb9   |Eb^7 sC-7,C-/Bb,|Ah,D7,G-7,Gb7,|lF-7   |E9   ][*AEb^7 Eo7 |F9 Bb13 |Ah7 Ab-7 |Gh7 C7b9 |F-7 Ab-6 |F-7 Bb7sus |Eb69 C7b9 |F-7 Bb7 Z "
"Kicker, The","Joe Henderson","","Up Tempo Swing","Bb","","","0","0","[T44Bb7   | x  | x  | x  |Eb-7   |Ab7   |Db^7   |Gb^7   |Ch7   |F7   |Bb-7   |F7#9   Z "
"Kids Are Pretty People","Thad Jones","","Slow Swing","D-","","","0","0","[*AT44D-7 A7#9 |D-7 sC-7,F7,|lBb7 A7#9 |D-7 G7 |F^7/C A7/C# |D-7 D-7/C |Bh7 E7#9 |A7#9   ][*AD-7 A7#9 |D-7 sC-7,F7,|lBb7 A7#9 |D-7 G7 |F^7/C A7/C# |D-7 Bh7 |F/C C7sus |F6 A7 ][*BD-7 Bb^7 |G-7 Eb^7 |C-7 F7 |Bb^7 Eb7 |F/C   |Eb/C   |F/C   |A7#9   ][*AD-7 A7#9 |D-7 sC-7,F7,|lBb7 A7#9 |D-7 G7 |C7 F7 |Bb7 Eb7 |Eh7 A7#9 |UD-7 sEh,A7Z "
"Killer Joe","Benny Golson","","Medium Swing","C","","","0","0","{T44*AC9   |Bb9#11   |   r|    |   r|    |   r|    }[*BEh7   |A7b9   |Eb-7   |Ab7   |A7   |Ab7   |E-7   |A7   ][*AC9   |Bb9#11   |   r|    |   r|    |   r|    Z "
"Ko Ko","Charlie Parker","","Up Tempo Swing","Bb","","","0","0","*A{T44Bb6   | x  |F-7   |Bb7   |Eb^7   | x  |Ab7   | x  |Bb6   | x  |C7   | x  |N1C-7   |G7b9   |C-7   |F7#5   }|N2C-7   |F7   |Bb6   | x<Fine>  ]*B[C#-7   |F#7   |B^7   | x  |B-7   |E7   |A^7   | x  |A-7   |D7   |G^7   | x  |G-7   |C7   |C-7 <D.C. al 2nd ending>  |F7#5   ]"
"L-O-V-E","Gabler-Kaempfert","","Medium Swing","G","","","0","0","[*AT44G69   | x  |A-7   |D7   |D7   | x  |G69   | x  |G7   | x  |C   | x  |A7   | x  |D7   | x  ][*BG69   | x  |A-7   |D7   |D7   | x  |G69   | x  |G7   | x  |C   |C#o7   |G   |D7  Q |G   |A-7 D7 ZY{QG69   |A-7, D7 }G   Z "
"La Fiesta","Chick Corea","","Latin","A","","","0","0","{*AT64E   |F   |G7 F |E  <*666x> }{SE   |F   |G7 F |E   }[A   | x  | x  | x  ]{*BA^7 C#7 |D^7 D#o7 |A^7/E Fo7 |F#-7 B7 |E7  A^7  |D^7/F# D^7 |C#-7  F#7  |N1B-7    |E    }N2B-7  E7, Q ][*CA^7 D^7/C# | x  | x  |G F ]{E,   |F   |G F |<D.S. al Coda>E  <*698x> }Y{QA^7 D^7 | x  | x <*74(open)> }UA^7,   Z "
"La Vie En Rose","Louiguy-Piaf","","Slow Swing","C","","","0","0","{*AT44C,   | x  |C^7,   | x  |C6,   | x  |D-7,   |G7,   ||D-7,   | x  |G7,   | x  |D-,   |G7   |Ao7,   |D-7 G7 ][*BC,   | x  |C^7,   | x  |C6,   | x  |F   | x  |F6   |F-6   |C^9   | x  |F6   |Ebo7   |D-7   |Fh7 G7 ][*CC,   | x  |C^7,   | x  |F,   |D-  "
"Ladies In Mercedes","Steve Swallow","","Bossa Nova","G","","","0","0","[*AT44G^7   | x  |C7#11   | x  |B-7   | x  |E7   | x  ]*B[C#7alt   | x  |F#-^7   | x  |D#h7   | x  |G#7   | x  ]*C[Db^7   | x  |Gb7#11   | x  |F-7   | x  |Bb7   | x  ]*D[G7alt   | x  |C-^7   | x  |Ah7   | x  |D7   | x  Z "
"Lady Bird","Tadd Dameron","","Up Tempo Swing","C","","","0","0","[T44C^7   | x  |F-7   |Bb7   |C^7   | x  |Bb-7   |Eb7   |Ab^7   | x  |A-7   |D7   |D-7   |G7   |UC^7 Eb^7 |Ab^7 Db^7 Z"
"Lady is a Tramp, The","Richard Rodgers","","Medium Swing","C","","","0","0","*A{T44C^7   |Eb7   |D-7   |G7   |C^7   |Eb7   |D-7   |G7   |C7sus   |G-7 C7 |F^7   |Bb7sus Bb7 |E-7 A7 |D-7 G7 |N1C6 A7 |D-7 G7 }        |N2C6   | x  ]*B[D-7   |G7   |E-7   |A7   |D-7   |G7   |E-7 A7 |D-7 G7 ]*C[C^7   |Eb7   |D-7   |Bh7 E7b9 |A-7   |D-7 G7 |C6   | x  Z"
"Lady's In Love With You, The","Burton Lane","","Medium Swing","G","","","0","0","{*AT44A7,   | x  |A-7,   |D9,   |G6,   |ppD7#5, |G6,   | x  }[*BD-7, G7, | x  |D-7,   |G7,   |C^7,   | x  |C-6,   |D13,   ][*AA7,   | x  |A-7,   |D9,   |G6,   |ppD7#5, |G6,   | x  Z "
"Lakes","Pat Metheny","","Even 8ths","D","","","0","0","{*iT44D   |A/D   |G/D   |A/D   }[*AD sA/C#,B-,|B-,lD/A  |E/G# G/A |D^7 F#7 |F#7 B-7 |E- G/A,A/G,|D^7/F# E-9 |G/A Bb/A ][*BA sBbo,B-,|B-,lD/C,pp|A/C# A-7/D |G^7 F#/G# |C#-7 C9 |B- D9 |G^7 F#-7 |F^7   ][*ClE-9 F#-7 |F#/G   |E7#9/G# Eb/A |D/A#   |C/B Bb/C |A7/C# sD9,D/Eb,|lE-9 sF#-7,G^,|lA7sus <Fine>  ]Y{<Solos>D   |A/D   |G/C   |A/D   }{D^7 C7sus |F^7 Ab7sus |Db^7 B7sus |E^7 D7sus |G^7 F7sus |Bb^7 Db7sus |Gb^7 G7sus |C^7 A7sus } "
"Lament","J.J. Johnson","","Ballad","F-","","","0","0","*A[T44F-   |Eb-7 Ab7 |Db^7   |G-7 C7 |F^7   |Ah7 D7b9 |G-7(Eh7)   |Eh7(A7b9) A7b9 ]*B[D- sC7,Bb-7,l|A-7 D-7 |G-7   |Eh7 A7b9 |D-   |Eb-7 Ab7 |Db^7   |Gh7 C7b9 ]*A[F-   |Eb-7 Ab7 |Db^7   |G-7 C7 |F^7   |Ah7 D7b9 |G-7(Eh7)   |Eh7(A7b9) A7b9 ]*C[D- sC7,Bb-7,l|A-7 D-7 |Bh7   |Bb-7 Eb7 |F^7 D-7 |Db7 C7 |F^7   |Gh7 C7b9 Z"
"Lamp Is Low, The","DeRose-Shefter","","Medium Swing","G","","","0","0","[*AT44A-9(D13sus)   | x  |D13sus   |ppD7 |G6   |C9   |B-7   |E7   ][*AA-9(D13sus)   | x  |D13sus   |ppD7 |G6   |C9   |G6   | x  ][*BD-7   | x  |G7sus G7 |G9   |C^7   | x  |F7   | x  ][*CA13sus(D13sus)   | x  |D13sus   |C7   |B-11   |E7   |Ah7   |D7b9   |UG6   |B-7 E7 Z "
"Last Night When We Were Young","Harold Arlen","","Ballad","G","","","0","0","T44{*AG^7 C7 |B-7 E7b13 |A7   |A-7 D7#9 |D-7 G7 |Ah7 D7b9 |G^7 G#o7 |A-7 D7 }[*BD-7   |B7 E7 |A7   |Bb7 A7b9 |D-7   |B7   |Eh7 A7b9 |sEb7,D7,pp][*AlG^7 C7 |B-7 E7 |D-7   |B7 E7 |A7   |A-7 D7 |G6   |A-7 D7 Z "
"Last Time I Saw Paris, The","Henry Mancini","","Medium Swing","G","","","0","0","{*AT44G^7   | x  | x  |G^7 G#o7 |A-7   |D7   |C-7 D7 |N1A-7, D7 }            |N2sF7,F#7,lG^7 ][*BE-7 A7 |D^7 B7 |E-7 A7 |D^7   |F#-7 B7 |E^7 C#7 |F#-7 B7 |A-7 D7 ][*AG^7   | x  | x  |G^7 G#o7 |A-7   |D7   |A-7 D7 |sF7,F#7,lG^7 Z "
"Last Train Home","Pat Metheny","","Even 8ths","Bb","","","0","0","[*AT44Bb   |C/Bb   |Ab   |Bb   |Bb,   |D- D-7 |G-   |Eb   ||F7sus   | x  |F7   |G-   |D7/F#   |G-/F   |Eb^7   | x  |D-7   |G-7   |   r|    |G-7,   |Eb6/Bb   | x  | x  |F   ]Bb  sF/Bb,|lF/Bb,   |G-7  sF/G,|lF/G,   |Bb  sF/Bb,|lF/Bb,   |G-7  sF/G,|lF/G,   Z "
"Laura","David Raksin","","Ballad","C","","","0","0","[*AT44A-9   |D7b9   |G6   | x  |G-9   |C7b9   |F^7   | x  ][*BF-7   |Bb7sus Bb7b9 |Eb^7   |C-7   |Ah7 D7b5 |ppD7 |G^7   |E7b13   ][*AA-9   |D7b9   |G6   | x  |G-9   |C7b9   |F^7   | x  ][*CF-7 F-7/Eb |Dh7 G7b9 |C^7 A-7 |D7   |D7b9   |G7   |UC6   |Bh7 E7b9 Z "
"Laurie","Bill Evans","","Ballad","Bb","","","0","0","{T44Bb^7   |E7b9sus E7#9#5 |A-7   |ppD7#5 |Gh7   |C7#9#5   |C-7   |ppF7#5 |F-7   |Bb7#9#5   |Eb-7   |Ab7#9   |N1Dh7   |Db7sus Db7 |C7sus C7 |B9   }|N2G-7   |A-7   |B-7   |C#-7   |Ch7   |F7#9#5   |Bb7sus   |Ab7sus   |Gb7sus   |F7sus F7 Z"
"Lazy Afternoon","Latouche-Moross","","Ballad","A-","","","0","0","[*AT44A-7,   |A7(A-6)   |A-7,   |D9,   |A-7,   |D13,   |A-7,   |D7,   ][*BD-7   |D7(D-6)   |D-7   |G9,   |D-7,   |G13,   |D-7(D-6)   |G7   ][*CD-7,   |G7,   |C^7, F7, |E-7, A7, |D-7,   |G7,   |C^7,   |Bh7,   |E7   [*AA-7,   |A7(A-6)   |A-7,   |D9,   |A-7,   |D13,   |A-7(A-6)   |D7,   |A6   |B-7, E7 Z "
"Lazy Bird","John Coltrane","","Up Tempo Swing","G","","","0","0","*A{T44A-7 D7 |C-7 F7 |F-7   |Bb7   |Eb^7   |A-7 D7 |N1G^7   |Ab-7 Db7 }        |N2G^7   | x  ]*B[B-7   |E7   |A^7   |Bb-7 Eb7 |A-7   |D7   |G^7   |Ab-7 Db7 ]*A[A-7 D7 |C-7 F7 |F-7   |Bb7   |Eb^7   |A-7 D7,Q |G^7   | x  ZYQ|F7#11   |Eb7   |A-7   |D7b9   |G^7   |C7b9   |F^7   |Bb7b9   |Eb7   |Ab^7   |Db7#11   Z"
"Lazy River","Hoagy Carmichael","","Slow Swing","F","","","0","0","*A[T44D7   |sD7,Db7,C7,F#o,|lG7   |sG7,Ab7,lG7 |lC7   |sC7,Db7,lC7 |F6 C7 |lF6   ]*B[D7   |sD7,Db7,C7,F#o,|lG7   |sG7,Ab7,lG7 |Bb6 Bo7 |F6/C D7 |G7 C7 |F6 D7 |G7 C7 |UF6 A7 Z "
"Lazybones","Carmichael-Mercer","","Slow Swing","C","","","0","0","{*AT44C^7 F7 | x  |C^7 sF7,G7,|lC6 C7/Bb |A7   |D-7   |Ab7b5 G7 |N1C6 G7 }            |N2C6 G7 ][*BF6   | x  |C^7 G7 |C^7   |F7 Eb7 |D7 G7 |D7   |D-7 G7 ][*AC^7 F7 | x  |C^7 sF7,G7,|lC6 C7/Bb |A7   |D-7   |Ab7b5 G7 |C6 sD-7,G7Z "
"Leaving","Richie Beirach","","Even 8ths","Bb","","","0","0","[T44Eb^7#11   |D7b9   |G-b6   | x  |Gb^7#5 F7b9 |D7b9   |G-b6   | x  |C-7   |Ab7sus   |Bb^, F^/A |Ab7#11 G7b9 |C-^7 Gb^7#11 |B^7#11   |D/Bb   |D7alt   Z "
"Leila","Wes Montgomery","","Slow Swing","C","","","0","0","{*AT44G-7 C7b9 |A-7 D7b9 |G-7 C7b9 |F^7   |Bb-7 Eb7b9 |Ab^7 Db^7 |G-7, C7b9 |N1F^7, C7 }            |N2F^7,   ][*BC-7 F7 |Bb^7,   |C-7 F7 |Bb^7,   |D-7 G7 |C^7,   |D-7 G7 |G-7 C7b9 ][*AG-7 C7b9 |A-7 D7b9 |G-7 C7b9 |F^7   |Bb-7 Eb7b9 |Ab^7 Db^7 |G-7, C7b9 |F^7,   Z "
"Lennie-Bird","Lennie Tristano","","Medium Up Swing","G","","Jazz-Medium Up Swing","161","3","[T44G^7   | x  |G-7   |C7   |F^7   | x  |F-7   |Bb7   |Eb6   |A7b9   |D7b9   | x  |B-7 E-7 |A-7 D7 |G^7 E-7 |A-7, D7 Z "
"Lennie's Pennies","Lennie Tristano","","Up Tempo Swing","C-","","","0","0","*A[T44C-6   | x  |D7   |Db7   |C-6   | x  |D7   |G7   |Gh7   |C7b9   |F-6   | x  |C-6   |D7   | x  |G7   ]*B[C-6   | x  |D7   |G7b9   |C7b9   | x  |F-6   | x  |F-6   |Dh7   |C-6   |A7   |Dh7   |G7b9   |C-6   | x  Z"
"Let There Be Love","Rand-Grant","","Medium Swing","Eb","","","0","0","[*AT44Eb^7   |Ab^7   |Gh7   |C7   |Fh7   |Bb7   |Eb^7 Ab7 |G-7 F#o7 ][*BF-7   |Bb7   |Eb^7 Ab7 |G-7 F#o7 |F-7   |Bb7   |G-7 C7b9 |F-7 Bb7 ][*AEb^7   |Ab^7   |Gh7   |C7   |Fh7   |Bb7   |Eb^7   |F-7 Bb7 ][*CEb^7   |G-7   |C9   | x  |F-7   |Bb7   |Eb6   |F-7 Bb7 Z "
"Let There Be You","Young-Cavanaugh","","Slow Swing","C","","","0","0","{*AT44C^7, F#o7, |D-7,   |G7, G+, |C,psB7,Bb7|lA7,   |D-7,   |N1D7,   |D-7, G7, }        |N2sD7,G7,D-7,G7|lC^7, C7 ]Y[*BF^7,   |F#o7,   |C^7,   |A7,   |D-7, G7, |sC,G,A-7,p|lD7,   |D-7, G7 ]Y[*AC^7, F#o7, |D-7,   |G7, G+, |C,psB7,Bb7|lA7,   |D-7,   |sD7,G7,D-7,G7|lC^7   Z "
"Let's Call The Whole Thing Off","George Gershwin","","Medium Swing","Eb","","","0","0","{*AT44Eb^7 Gbo7 |F-7 Bb13, |Eb^7 Gbo7 |F-7 Bb13 |Bb-7 Eb7 |Ab^7 Ab-6 |N1G-7 C-7 |B9#11 Bb7 }        |N2F-7 Bb7 |Eb69   ][*BAh7   |D7 G-7 |C7b9 F-7 |Bb7sus Bb7 |Ah7   |D7 G-7 |C7b9 F-7 |Bb7sus Bb7 ][*AEb^7 Gbo7 |F-7 Bb13 |Eb^7 Gbo7 |F-7 Bb7 |Bb-7 Eb7 |Ab^7 Ab-6 |Eb^7 F-7 |G7#5 C7 |F-7 Bb7 |Eb69 Bb7sus Z "
"Let's Call This","Thelonious Monk","","Medium Swing","G","","","0","0","*A{T44D9sus   | x  | x  | x  |D9sus   |ppF#7 |F7 E7 |Eb7 D7 }*B[G7   | x  |C7   | x  |A7   | x  |B-7 Bb7 |A-7 Ab7 ]*A[D9sus   | x  | x  | x  |D9sus   |ppF#7 |F7 E7 |G6   Z"
"Let's Cool One","Thelonious Monk","","Medium Swing","Eb","","","0","0","*A{T44Eb^7   |F-7 Bb7 |sEb^,D7,Db7,G7,|lC7b9#11   |F7   |Bb7   |Eb6   | (F-7)x (Bb7) }*B[Bb-7   |Eb7   |Ab^7   | x  |F7   | x  |Bb7sus   | x  ]*A[Eb^7   |F-7 Bb7 |sEb^,D7,Db7,G7,|lC7b9#11   |F7   |Bb7   |Eb6   | (F-7)x (Bb7) Z"
"Let's Do It (Let's Fall In Love)","Cole Porter","","Medium Swing","Bb","","","0","0","{*AT44Bb6 Bo7 |C-7 F7 |Bb6 Bb7 |Eb6 Eb-6(Ab9) |D-7 G7b9 |C-7 F7 |N1D7#5 G7b9 |C9 F7#5 }        |N2Bb6 Eb7 |Bb6 D7#5 ][*BG-6   |C-7(Eb9) C-6 |D-7   |F-7 Bb7b9 |Eb6   |Eb-7 Ab7 |Db6   |C-7 F7#5 ][*ABb6 Bo7 |C-7 F7 |Bb6 Bb7 |Eb7   |Bb6/D G-7 |C-7 F7b9 |Bb6 G7#5 |C-7 F7#5 Z "
