"title","composer","a2","style","key","actualKey","actualStyle","actualTempo","actualRepeats","data"
"A Smooth One","Benny Goodman","","Medium Up Swing","F","","","0","0","{*AT44Bo7 Bb6 |F6/A F6 |Bo7 Bb6 |F6/A F6 |Bo7 Bb6 |F6/A F6 |G7 C7 |N1F6   }            |N2F6 F7 ][*BBb6   |Bo7   |F6   |C-7 F7 |Bb6   |Bo7   |F6 D7b9 |Gh7 C7 ][*ABo7 Bb6 |F6/A F6 |Bo7 Bb6 |F6/A F6 |Bo7 Bb6 |F6/A F6 |G7 C7 |F6   Z "
"A Sound For Sore Ears","Jimmy Heath","","Even 8ths","Eb","","","0","0","[*AT44Bb7sus   | x  | x  | x  |Bb7sus   | x  | x  | x  ][*BG7sus   | x  | x  | x  |G7sus   | x  | x  | x  ][*CB-7 E7 |A^7   |Bb-7 Eb7 |Ab^7   |Ab^7   |F^7   |D^7   |B^7   Z "
"A Sunday Kind Of Love","Belle-Prima-Leonard-Rhodes","","Ballad","F","","","0","0","{*AT44F^7, F#o7, |G-7, C7b9, |A-7, D7b9, |Bb^7, Bb-7, |A-7, D7, |G-7, C7#5, |N1F^7, Dh7, |G-7, sDb7,C7}        |N2lF^7,   | x  ]Y[*BC-7, F7, |C-7, F7b9, |Bb^7 F7, |Bb^7,   |G7, D-7, |G7,   |C7, F#o7, |G-7   ]Y[*AF^7, F#o7 |G-7, C7b9, |A-7, D7b9, |Bb^7, Bb-7, |A-7, D7, |G-7, C7#5, |F^7, sG-7,Bb-|lF^7,   Z "
"A Taste Of Honey","Marlow-Scott","","Waltz","D-","","","0","0","[*AT34D-   |D-^7   |D-7   |G7   |D-   |D-^7   |D-7   |G7   |D-   | x  |Bb^7   |A-7   |D-   | x  ]*BD-7   |G7   |D-7   |G7   |Bb^7   |A-7   |D-   |Eh7 A7b9 Z "
"A Time For Love","Johnny Mandel","","Ballad","F","","","0","0","[*AT44F^7   |Eb7/F   |F6   |G7   |G-7   |G-7/F   |E-7 A7 |Eh7/A A7b9 ][*BD-7   |Eb7/Db   |F7/C   |G7   |G-7   |G-7/F   |E-7 A7 |Eh7/A A7b13 ][*CD-7 A7 |D-7 G7 |C6 E7b13 |A-7 A7b13 |D-7 C-6 |Bh7 E7 |C#-7 F#-7 |G-7 C7 ][*DF^7   |Eh7 A7b9 |D-7   |G7   |G-7   |G-7/F   |E-7 A7 |Eh7 A7b9 |D-7   |G7   |G-7   |C7   |F6   |C7sus   Z "
"A Tisket A Tasket","Traditional","","Medium Swing","Eb","","","0","0","{*AT44Eb^7   | x  |Eb^7 Ab^7 |G-7 C7 |F-7   |Bb7   |F-7 Bb7 |N1Eb^7 Bb7 }            |N2Eb^7 Eb7 ][*BAb6   |Ab-6   |Eb^7   |Eb7   |Ab6   |Ab-6   |G-7 C7 |F-7 Bb7 ][*AEb^7   | x  |Eb^7 Ab^7 |G-7 C7 |F-7   |Bb7   |F-7 Bb7 |Eb^7   Z "
"A Weaver Of Dreams","Victor Young","","Medium Swing","C","","","0","0","[*AT44C^7   | x  |Bh7   |E7b9   |A-7   | x  |G-7   |C7   ][*BF^7   |Bb7#11   |E-7   |A7   |D7   | x  |D-7   |G7   ][*AC^7   | x  |Bh7   |E7b9   |A-7   | x  |G-7   |C7   ][*CF^7   |Bb7#11   |E-7   |Eb-7 Ab7 |D-7   |G7   |C^7   |D-7 G7 Z "
"A Wonderful Day Like Today","Bricusse-Newley","","Up Tempo Swing","Eb","","","0","0","{*AT44Eb^7   |Eb6   |   r|    |   r|    |F-7   |Bb7   |   r|    |G-7   |C7   |N1Ab^7   |F7   |F-7   |Bb7   }|N2Ab^7   |F-7 Bb7 |Eb6 F-7 |F#o7 G7 ][*BAb   |Ab+   |Ab6   |Ab7 Ao7 |Eb^7   |F-7 Bb7 |Eb^7   |Eb7   |Ab^7   | x  |Ah7   |D7b9   |G-7   |C7   |F7   |Bb7   ][*AEb^7 |Eb6 | r|  | r|  |F-7 |Bb7 | r|  |G-7 |C7 |Ab^7 |G7 |C-7 |F7 |F-7 |Bb7 |Eb6 |F-7, Bb7 Z "
"Ablution","Lennie Tristano","","Medium Swing","Ab","","Jazz-Medium Up Swing 2","160","3","[*AT44F-7   |Bb-7   |Eb7   |Ab^7   |Db6   |G7   |C^7   |C^7#11,   ][*BC-7   |F-7   |Bb7   |Eb7   |Ab^7   |D7   |G^7#11   | x  ][*CA-7   |D7b9,   |G^7,   | x  |F#-7   |B7#9   |E^7   |C7#5,   ][*DF-7   |Bb-7   |Eb7   |Ab^7,   |Db^7   |Gb7   |C-7   |Bo7   |Bb-7   |A^7,   |Ab6   |C7b9   Z "
"Ac-Cent-Tchu-Ate The Positive","Harold Arlen","","Medium Swing","F","","","0","0","{*AT44F^7 F+ |F6 F^7 |G-7   |C7   ||F^7 F+ |F6 F^7 |G-7 C7 |F6 C7 }[*BF6   |F7   |Bb^7 sG-7,C7,|lF6 C7 |F6   |D7b9   |G7#5   |C7   ][*AF^7 F+ |F6 F^7 |G-7   |C7   ||F^7 F+ |F6 F^7 |G-7 C7, |F6 C7 Z "
